,time_period_start,time_period_end,time_open,time_close,rate_open,rate_high,rate_low,rate_close,Year,Month,Day,Hour
6584,2019-01-02T08:00:00.0000000Z,2019-01-02T12:00:00.0000000Z,2019-01-02T08:00:00.0000000Z,2019-01-02T11:59:00.0000000Z,0.0023493324892513,0.0023705751806187,0.002334540309817,0.0023479443436688,2019,1,2,8
6585,2019-01-02T12:00:00.0000000Z,2019-01-02T16:00:00.0000000Z,2019-01-02T12:00:00.0000000Z,2019-01-02T15:59:00.0000000Z,0.0023481595636908,0.0023818013622767,0.0023242642034664,0.002367581056808,2019,1,2,12
6586,2019-01-02T16:00:00.0000000Z,2019-01-02T20:00:00.0000000Z,2019-01-02T16:00:00.0000000Z,2019-01-02T19:59:00.0000000Z,0.0023659951239366,0.0023866082100295,0.0023416521121798,0.0023683179510379,2019,1,2,16
6587,2019-01-02T20:00:00.0000000Z,2019-01-03T00:00:00.0000000Z,2019-01-02T20:00:00.0000000Z,2019-01-02T23:59:00.0000000Z,0.002367361766956,0.0024064489664142,0.0023391167095311,0.0023547480385503,2019,1,2,20
6588,2019-01-03T00:00:00.0000000Z,2019-01-03T04:00:00.0000000Z,2019-01-03T00:01:00.0000000Z,2019-01-03T03:59:00.0000000Z,0.0023589050187249,0.0023749497936721,0.0023204909895933,0.0023488716949088,2019,1,3,0
6589,2019-01-03T04:00:00.0000000Z,2019-01-03T08:00:00.0000000Z,2019-01-03T04:00:00.0000000Z,2019-01-03T07:59:00.0000000Z,0.0023493855613619,0.0024401010137752,0.0023073721336772,0.0023499320354731,2019,1,3,4
6590,2019-01-03T08:00:00.0000000Z,2019-01-03T12:00:00.0000000Z,2019-01-03T08:00:00.0000000Z,2019-01-03T11:59:00.0000000Z,0.002348075247936,0.002377226266719,0.002301160209971,0.0023372728727056,2019,1,3,8
6591,2019-01-03T12:00:00.0000000Z,2019-01-03T16:00:00.0000000Z,2019-01-03T12:00:00.0000000Z,2019-01-03T15:59:00.0000000Z,0.0023378345093383,0.0023828566454379,0.0023043157973642,0.0023270489981518,2019,1,3,12
6592,2019-01-03T16:00:00.0000000Z,2019-01-03T20:00:00.0000000Z,2019-01-03T16:00:00.0000000Z,2019-01-03T19:59:00.0000000Z,0.0023276129041949,0.0023812306661926,0.0022702568917399,0.0022989262956276,2019,1,3,16
6593,2019-01-03T20:00:00.0000000Z,2019-01-04T00:00:00.0000000Z,2019-01-03T20:00:00.0000000Z,2019-01-03T23:59:00.0000000Z,0.0023012646247784,0.0023558687438646,0.0022704818280809,0.0022950033418847,2019,1,3,20
